as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,URA,000720 KS,HYUNDAI ENGINEERING & CONST,,6450988,2142802.0,205547955.81,3.09,USD,,,,equity,web_csv
2026-06-15,URA,006360 KS,GS ENGINEERING & CONSTRUCT,,6537096,4246611.0,84982788.27,1.28,USD,,,,equity,web_csv
2026-06-15,URA,028260 KS,SAMSUNG C&T CORP,,BSXN8K7,748473.0,245100645.01,3.68,USD,,,,equity,web_csv
2026-06-15,URA,034020 KS,DOOSAN ENERBILITY CO LTD,,6294670,2391835.0,157915541.81,2.37,USD,,,,equity,web_csv
2026-06-15,URA,047040 KS,DAEWOO ENGINEERING & CONSTR,,6344122,13242249.0,200613589.64,3.02,USD,,,,equity,web_csv
2026-06-15,URA,052690 KS,KEPCO ENGINEERING & CONSTRUC,,B4LW1M1,1204167.0,107543361.34,1.62,USD,,,,equity,web_csv
2026-06-15,URA,1164 HK,CGN MINING CO LTD,,B755514,172359700.0,68196795.11,1.02,USD,,,,equity,web_csv
2026-06-15,URA,7011 JP,MITSUBISHI HEAVY INDUSTRIES,,6597067,4810144.0,109905813.01,1.65,USD,,,,equity,web_csv
2026-06-15,URA,8001 JP,ITOCHU CORP,,6467803,10989823.0,130870441.25,1.97,USD,,,,equity,web_csv
2026-06-15,URA,AEC CN,ANFIELD ENERGY INC,,BRT7VZ2,665795.0,2868142.62,0.04,USD,,,,equity,web_csv
2026-06-15,URA,AEE AU,AURA ENERGY LTD,,B14Z2S9,48279526.0,4105605.52,0.06,USD,,,,equity,web_csv
2026-06-15,URA,AEU AU,ATOMIC EAGLE LTD,,BSQM0M7,13840936.0,3972404.44,0.06,USD,,,,equity,web_csv
2026-06-15,URA,AGE AU,ALLIGATOR ENERGY LTD,,B55ZH25,261092401.0,7400945.37,0.11,USD,,,,equity,web_csv
2026-06-15,URA,ARE CN,AECON GROUP INC,,2699547,4009201.0,128958878.64,1.94,USD,,,,equity,web_csv
2026-06-15,URA,ASN AU,ANSON RESOURCES LTD,,BD8PFL3,72823731.0,2631940.56,0.04,USD,,,,equity,web_csv
2026-06-15,URA,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,4403094.0,203378616.37,3.06,USD,,,,equity,web_csv
2026-06-15,URA,BKY SM,BERKELEY ENERGIA LTD,,BYVQC08,28958588.0,9428658.91,0.14,USD,,,,equity,web_csv
2026-06-15,URA,BMN AU,BANNERMAN ENERGY LTD,,B07DXJ1,12009054.0,29530530.41,0.44,USD,,,,equity,web_csv
2026-06-15,URA,BOE AU,BOSS ENERGY LTD,,B1XLCQ6,25386817.0,21858356.53,0.33,USD,,,,equity,web_csv
2026-06-15,URA,CCO CN,CAMECO CORP,,2166160,14486477.0,1552674174.43,23.34,USD,,,,equity,web_csv
2026-06-15,URA,CVV CN,CANALASKA URANIUM LTD,,BR1YTV3,13168537.0,5371259.14,0.08,USD,,,,equity,web_csv
2026-06-15,URA,DML CN,DENISON MINES CORP,,2003223,57811093.0,191952106.71,2.89,USD,,,,equity,web_csv
2026-06-15,URA,DYL AU,DEEP YELLOW LTD,,6480275,58675617.0,66321039.96,1.0,USD,,,,equity,web_csv
2026-06-15,URA,EFR CN,ENERGY FUELS INC,,BFV4XV7,15094113.0,236113857.51,3.55,USD,,,,equity,web_csv
2026-06-15,URA,EL8 AU,ELEVATE URANIUM LTD,,BM8ZH21,26016050.0,4609081.02,0.07,USD,,,,equity,web_csv
2026-06-15,URA,EU CN,ENCORE ENERGY CORP,,BN48958,11713971.0,18105962.55,0.27,USD,,,,equity,web_csv
