as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-16,4COP,1208 HK,MMG LTD,HK1208013172,6728793,25326024.0,27738249.51,2.198,USD,,HK,,equity,web_csv
2026-06-16,4COP,1258 HK,CHINA NONFERROUS MINING CORP,HK0000112026,B890GY2,8302709.0,15166459.12,1.202,USD,,HK,,equity,web_csv
2026-06-16,4COP,1515 JP,NITTETSU MINING CO LTD,JP3680800004,6641027,267971.0,4216569.33,0.334,USD,,JP,,equity,web_csv
2026-06-16,4COP,2099 HK,CHINA GOLD INTERNATIONAL RES,CA16890P1036,B60FNV8,1524878.0,30599363.22,2.425,USD,,CA,,equity,web_csv
2026-06-16,4COP,2899 HK,ZIJIN MINING GROUP CO LTD-H,CNE100000502,6725299,11956832.0,50886955.82,4.033,USD,,CN,,equity,web_csv
2026-06-16,4COP,358 HK,JIANGXI COPPER CO LTD-H,CNE1000003K3,6000305,6481619.0,30480905.81,2.416,USD,,CN,,equity,web_csv
2026-06-16,4COP,3939 HK,WANGUO GOLD GROUP LTD,KYG9430L1150,BV106D0,7599550.0,10156856.27,0.805,USD,,KY,,equity,web_csv
2026-06-16,4COP,5711 JP,MITSUBISHI MATERIALS CORP,JP3903000002,6597089,793363.0,24225504.03,1.92,USD,,JP,,equity,web_csv
2026-06-16,4COP,5713 JP,SUMITOMO METAL MINING CO LTD,JP3402600005,6858849,835089.0,46141914.57,3.657,USD,,JP,,equity,web_csv
2026-06-16,4COP,ALS CN,ALTIUS MINERALS CORPORATION,CA0209361009,2122355,296994.0,12923215.13,1.024,USD,,CA,,equity,web_csv
2026-06-16,4COP,AMAK AB,AL MASANE AL KOBRA MINING CO,SA15HG50KL10,BNNVLT6,337286.0,6934104.75,0.55,USD,,SA,,equity,web_csv
2026-06-16,4COP,ANTO LN,ANTOFAGASTA PLC,GB0000456144,0045614,1136784.0,64582714.83,5.118,USD,,GB,,equity,web_csv
2026-06-16,4COP,ARG CN,AMERIGO RESOURCES LTD,CA03074G1090,2855822,885565.0,4489082.94,0.356,USD,,CA,,equity,web_csv
2026-06-16,4COP,ASCU CN,ARIZONA SONORAN COPPER CO IN,CA04058Q1054,BMC50Y0,1086986.0,7624017.92,0.604,USD,,CA,,equity,web_csv
2026-06-16,4COP,ATYM LN,ATALAYA MINING COPPER SA,CY0106002112,BYZTVM8,761386.0,9052921.87,0.717,USD,,CY,,equity,web_csv
2026-06-16,4COP,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,1442640.0,66560764.94,5.275,USD,,AU,,equity,web_csv
2026-06-16,4COP,BOL SS,BOLIDEN AB,SE0020050417,BPYTZ57,971672.0,59766167.16,4.736,USD,,SE,,equity,web_csv
2026-06-16,4COP,BVR AU,BELLAVISTA RESOURCES LTD,AU0000216913,BNNFYB1,346617.0,93220.8,0.007,USD,,AU,,equity,web_csv
2026-06-16,4COP,CNL CN,COLLECTIVE MINING LTD,CA19425C1005,BN79Z49,300948.0,4585280.01,0.363,USD,,CA,,equity,web_csv
2026-06-16,4COP,CS CN,CAPSTONE COPPER CORP,CA14071L1085,BMY5XY9,4207273.0,46234430.35,3.664,USD,,CA,,equity,web_csv
2026-06-16,4COP,DVP AU,DEVELOP GLOBAL LTD,AU0000179707,BNVQGB0,1643248.0,8722555.26,0.691,USD,,AU,,equity,web_csv
2026-06-16,4COP,ERO CN,ERO COPPER CORP,CA2960061091,BF02Z72,628384.0,18941600.43,1.501,USD,,CA,,equity,web_csv
2026-06-16,4COP,FCX,FREEPORT-MCMORAN INC,US35671D8570,2352118,846234.0,59363315.1,4.705,USD,,US,,equity,web_csv
2026-06-16,4COP,FDY CN,FARADAY COPPER CORP,CA3073571034,BLNNJN8,1382640.0,6119144.6,0.485,USD,,CA,,equity,web_csv
2026-06-16,4COP,FFM AU,FIREFLY METALS LTD,AU0000313769,BPDXXB2,4726390.0,6790549.92,0.538,USD,,AU,,equity,web_csv
2026-06-16,4COP,FM CN,FIRST QUANTUM MINERALS LTD,CA3359341052,2347608,2028876.0,65450888.44,5.187,USD,,CA,,equity,web_csv
2026-06-16,4COP,GLEN LN,GLENCORE PLC,JE00B4T3BW64,B4T3BW6,7659334.0,60740696.89,4.814,USD,,JE,,equity,web_csv
2026-06-16,4COP,HBM CN,HUDBAY MINERALS INC,CA4436281022,B05BDX1,2319146.0,67535706.99,5.352,USD,,CA,,equity,web_csv
2026-06-16,4COP,IE,IVANHOE ELECTRIC INC / US,US46578C1080,BPF0KH6,776033.0,8947660.49,0.709,USD,,US,,equity,web_csv
2026-06-16,4COP,IVN CN,IVANHOE MINES LTD-CL A,CA46579R1047,BD73C40,5023628.0,44968950.46,3.564,USD,,CA,,equity,web_csv
2026-06-16,4COP,KGH PW,KGHM POLSKA MIEDZ SA,PLKGHM000017,5263251,648862.0,68271806.43,5.411,USD,,PL,,equity,web_csv
2026-06-16,4COP,LUN CN,LUNDIN MINING CORP,CA5503721063,2866857,1932338.0,56989913.49,4.516,USD,,CA,,equity,web_csv
2026-06-16,4COP,NDA GR,AURUBIS AG,DE0006766504,5485527,162475.0,38812497.82,3.076,USD,,DE,,equity,web_csv
2026-06-16,4COP,NDM CN,NORTHERN DYNASTY MINERALS,CA66510M2040,2637848,3479530.0,7363821.4,0.584,USD,,CA,,equity,web_csv
2026-06-16,4COP,NGEX CN,NGEX MINERALS LTD,CA62930A1021,BVBCQW5,890339.0,17703019.05,1.403,USD,,CA,,equity,web_csv
2026-06-16,4COP,OM CN,OSISKO METALS INC,CA6882741094,BYW9WY0,3797011.0,5185207.89,0.411,USD,,CA,,equity,web_csv
2026-06-16,4COP,SCCO,SOUTHERN COPPER CORP,US84265V1052,2823777,309969.0,60298269.57,4.779,USD,,US,,equity,web_csv
2026-06-16,4COP,SFR AU,SANDFIRE RESOURCES LTD,AU000000SFR8,6739739,2967261.0,43849596.0,3.475,USD,,AU,,equity,web_csv
2026-06-16,4COP,SLS CN,SOLARIS RESOURCES INC,CA83419D2014,BMQ5701,596280.0,6002661.42,0.476,USD,,CA,,equity,web_csv
2026-06-16,4COP,TECK/B CN,TECK RESOURCES LTD-CLS B,CA8787422044,2879327,999209.0,67033053.64,5.312,USD,,CA,,equity,web_csv
2026-06-16,4COP,TGB,TASEKO MINES LTD,CA8765111064,2592066,2297460.0,17943162.6,1.422,USD,,CA,,equity,web_csv
2026-06-16,4COP,,CANADIAN DOLLAR,,,1699390.24,1215021.8,0.096,USD,,,,fx,web_csv
2026-06-16,4COP,,OTHER PAYABLE & RECEIVABLES,,,909364.2,909364.2,0.072,USD,,,,cash,web_csv
2026-06-16,4COP,,BRITISH STERLING POUND,,,15420.54,20705.94,0.002,USD,,,,fx,web_csv
2026-06-16,4COP,,EURO,,,1005.77,1167.45,0.0,USD,,,,fx,web_csv
2026-06-16,4COP,,AUSTRALIAN DOLLAR,,,525.52,371.94,0.0,USD,,,,fx,web_csv
2026-06-16,4COP,,SAUDI RIYAL,,,176.53,47.04,0.0,USD,,,,fx,web_csv
2026-06-16,4COP,,SWEDISH KRONE,,,350.0,37.35,0.0,USD,,,,fx,web_csv
2026-06-16,4COP,,JAPANESE YEN,,,246.0,1.53,0.0,USD,,,,fx,web_csv
2026-06-16,4COP,,HONG KONG DOLLAR,,,0.12,0.02,0.0,USD,,,,fx,web_csv
2026-06-16,4COP,,CASH,CASH,,183931.52,183931.52,0.015,USD,,,,cash,web_csv
2026-06-17,4COP,1208 HK,MMG LTD,HK1208013172,6728793,25368069.0,27746780.77,2.212,USD,,HK,,equity,web_csv
2026-06-17,4COP,1258 HK,CHINA NONFERROUS MINING CORP,HK0000112026,B890GY2,8316494.0,15369268.96,1.225,USD,,HK,,equity,web_csv
2026-06-17,4COP,1515 JP,NITTETSU MINING CO LTD,JP3680800004,6641027,268415.0,4341182.57,0.346,USD,,JP,,equity,web_csv
2026-06-17,4COP,2099 HK,CHINA GOLD INTERNATIONAL RES,CA16890P1036,B60FNV8,1527410.0,30800451.8,2.456,USD,,CA,,equity,web_csv
2026-06-17,4COP,2899 HK,ZIJIN MINING GROUP CO LTD-H,CNE100000502,6725299,11976683.0,50595153.64,4.034,USD,,CN,,equity,web_csv
2026-06-17,4COP,358 HK,JIANGXI COPPER CO LTD-H,CNE1000003K3,6000305,6492380.0,31139029.83,2.483,USD,,CN,,equity,web_csv
2026-06-17,4COP,3939 HK,WANGUO GOLD GROUP LTD,KYG9430L1150,BV106D0,7612030.0,10113362.9,0.806,USD,,KY,,equity,web_csv
2026-06-17,4COP,5711 JP,MITSUBISHI MATERIALS CORP,JP3903000002,6597089,794680.0,24198520.26,1.929,USD,,JP,,equity,web_csv
2026-06-17,4COP,5713 JP,SUMITOMO METAL MINING CO LTD,JP3402600005,6858849,836475.0,47765031.19,3.809,USD,,JP,,equity,web_csv
2026-06-17,4COP,ALS CN,ALTIUS MINERALS CORPORATION,CA0209361009,2122355,297486.0,12760008.59,1.017,USD,,CA,,equity,web_csv
2026-06-17,4COP,AMAK AB,AL MASANE AL KOBRA MINING CO,SA15HG50KL10,BNNVLT6,337844.0,7021537.97,0.56,USD,,SA,,equity,web_csv
2026-06-17,4COP,ANTO LN,ANTOFAGASTA PLC,GB0000456144,0045614,1138665.0,64983346.03,5.182,USD,,GB,,equity,web_csv
2026-06-17,4COP,ARG CN,AMERIGO RESOURCES LTD,CA03074G1090,2855822,887035.0,4403226.3,0.351,USD,,CA,,equity,web_csv
2026-06-17,4COP,ASCU CN,ARIZONA SONORAN COPPER CO IN,CA04058Q1054,BMC50Y0,1088792.0,7462585.49,0.595,USD,,CA,,equity,web_csv
