as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,COPX,1208 HK,MMG LTD,HK1208013172,6728793,166256360.0,206682528.99,2.49,USD,,,,equity,web_csv
2026-06-15,COPX,1258 HK,CHINA NONFERROUS MINING CORP,HK0000112026,B890GY2,54382400.0,106892105.83,1.29,USD,,,,equity,web_csv
2026-06-15,COPX,1515 JP,NITTETSU MINING CO LTD,JP3680800004,6641027,1759570.0,28589990.88,0.34,USD,,,,equity,web_csv
2026-06-15,COPX,2099 HK,CHINA GOLD INTERNATIONAL RES,CA16890P1036,B60FNV8,10018800.0,205109895.47,2.47,USD,,,,equity,web_csv
2026-06-15,COPX,2899 HK,ZIJIN MINING GROUP CO LTD-H,CNE100000502,6725299,78458035.0,336067040.37,4.05,USD,,,,equity,web_csv
2026-06-15,COPX,358 HK,JIANGXI COPPER CO LTD-H,CNE1000003K3,6000305,42455601.0,201578623.49,2.43,USD,,,,equity,web_csv
2026-06-15,COPX,3939 HK,WANGUO GOLD GROUP LTD,KYG9430L1150,BV106D0,49325660.0,69692664.39,0.84,USD,,,,equity,web_csv
2026-06-15,COPX,5711 JP,MITSUBISHI MATERIALS CORP,JP3903000002,6597089,5208747.0,162793672.63,1.96,USD,,,,equity,web_csv
2026-06-15,COPX,5713 JP,SUMITOMO METAL MINING CO LTD,JP3402600005,6858849,5481664.0,314920124.89,3.79,USD,,,,equity,web_csv
2026-06-15,COPX,ALS CN,ALTIUS MINERALS CORPORATION,CA0209361009,2122355,1945611.0,83438024.42,1.0,USD,,,,equity,web_csv
2026-06-15,COPX,AMAK AB,AL MASANE AL KOBRA MINING CO,SA15HG50KL10,BNNVLT6,2199632.0,44549508.86,0.54,USD,,,,equity,web_csv
2026-06-15,COPX,ANTO LN,ANTOFAGASTA PLC,GB0000456144,0045614,7440259.0,428986104.56,5.17,USD,,,,equity,web_csv
2026-06-15,COPX,ARG CN,AMERIGO RESOURCES LTD,CA03074G1090,2855822,5813043.0,28910264.3,0.35,USD,,,,equity,web_csv
2026-06-15,COPX,ASCU CN,ARIZONA SONORAN COPPER CO IN,CA04058Q1054,BMC50Y0,7134891.0,49626920.83,0.6,USD,,,,equity,web_csv
2026-06-15,COPX,ATYM LN,ATALAYA MINING COPPER SA,CY0106002112,BYZTVM8,4998125.0,59113634.84,0.71,USD,,,,equity,web_csv
2026-06-15,COPX,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,9448660.0,436432971.31,5.26,USD,,,,equity,web_csv
2026-06-15,COPX,BOL SS,BOLIDEN AB,SE0020050417,BPYTZ57,6377961.0,388840309.36,4.68,USD,,,,equity,web_csv
2026-06-15,COPX,BVR AU,BELLAVISTA RESOURCES LTD,AU0000216913,BNNFYB1,2262293.0,641271.32,0.01,USD,,,,equity,web_csv
2026-06-15,COPX,CNL CN,COLLECTIVE MINING LTD,CA19425C1005,BN79Z49,1974937.0,30370600.83,0.37,USD,,,,equity,web_csv
2026-06-15,COPX,CS CN,CAPSTONE COPPER CORP,CA14071L1085,BMY5XY9,27617081.0,302958854.86,3.65,USD,,,,equity,web_csv
2026-06-15,COPX,DVP AU,DEVELOP GLOBAL LTD,AU0000179707,BNVQGB0,10786637.0,57329783.58,0.69,USD,,,,equity,web_csv
2026-06-15,COPX,ERO CN,ERO COPPER CORP,CA2960061091,BF02Z72,4115009.0,126472959.0,1.52,USD,,,,equity,web_csv
2026-06-15,COPX,FCX,FREEPORT-MCMORAN INC,US35671D8570,2352118,5554955.0,389568994.15,4.69,USD,,,,equity,web_csv
2026-06-15,COPX,FDY CN,FARADAY COPPER CORP,CA3073571034,BLNNJN8,9075724.0,39746274.2,0.48,USD,,,,equity,web_csv
2026-06-15,COPX,FFM AU,FIREFLY METALS LTD,AU0000313769,BPDXXB2,31024059.0,45509486.82,0.55,USD,,,,equity,web_csv
2026-06-15,COPX,FM CN,FIRST QUANTUM MINERALS LTD,CA3359341052,2347608,13317290.0,435317046.91,5.24,USD,,,,equity,web_csv
2026-06-15,COPX,GLEN LN,GLENCORE PLC,JE00B4T3BW64,B4T3BW6,50162901.0,393051156.28,4.74,USD,,,,equity,web_csv
2026-06-15,COPX,HBM CN,HUDBAY MINERALS INC,CA4436281022,B05BDX1,15226375.0,438666039.93,5.28,USD,,,,equity,web_csv
2026-06-15,COPX,IE,IVANHOE ELECTRIC INC / US,US46578C1080,BPF0KH6,5094167.0,58022562.13,0.7,USD,,,,equity,web_csv
2026-06-15,COPX,IVN CN,IVANHOE MINES LTD-CL A,CA46579R1047,BD73C40,32975141.0,292834448.32,3.53,USD,,,,equity,web_csv
2026-06-15,COPX,KGH PW,KGHM POLSKA MIEDZ SA,PLKGHM000017,5263251,4235822.0,436985161.65,5.26,USD,,,,equity,web_csv
2026-06-15,COPX,LUN CN,LUNDIN MINING CORP,CA5503721063,2866857,12686801.0,361779684.32,4.36,USD,,,,equity,web_csv
2026-06-15,COPX,NDA GR,AURUBIS AG,DE0006766504,5485527,1063934.0,246992838.16,2.98,USD,,,,equity,web_csv
2026-06-15,COPX,NDM CN,NORTHERN DYNASTY MINERALS,CA66510M2040,2637848,22788256.0,50062575.35,0.6,USD,,,,equity,web_csv
2026-06-15,COPX,NGEX CN,NGEX MINERALS LTD,CA62930A1021,BVBCQW5,5843924.0,116004473.69,1.4,USD,,,,equity,web_csv
2026-06-15,COPX,OM CN,OSISKO METALS INC,CA6882741094,BYW9WY0,24867981.0,34522797.34,0.42,USD,,,,equity,web_csv
