as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,SIL,010130 KS,KOREA ZINC CO LTD,,6495428,138776.0,115034617.62,2.43,USD,,,,equity,web_csv
2026-06-15,SIL,AAG CN,AFTERMATH SILVER LTD,,BDFS6H8,7575571.0,4336796.88,0.09,USD,,,,equity,web_csv
2026-06-15,SIL,ABRA CN,ABRASILVER RESOURCE CORP,CA00379L3048,BR4XSQ5,4236982.0,47904623.13,1.01,USD,,,,equity,web_csv
2026-06-15,SIL,AG CN,FIRST MAJESTIC SILVER CORP,CA32076V1031,2833583,11973548.0,226284591.71,4.78,USD,,,,equity,web_csv
2026-06-15,SIL,APM CN,ANDEAN PRECIOUS METALS CORP,CA03349X1015,BNDS6V4,1682813.0,7441972.41,0.16,USD,,,,equity,web_csv
2026-06-15,SIL,ASL AU,ANDEAN SILVER LTD,AU0000343253,BSFS736,5392332.0,8406830.27,0.18,USD,,,,equity,web_csv
2026-06-15,SIL,ASM CN,AVINO SILVER & GOLD MINES,CA0539061030,2474261,4743807.0,32384642.58,0.68,USD,,,,equity,web_csv
2026-06-15,SIL,AYA CN,AYA GOLD & SILVER INC,CA05466C1095,BK94091,4120553.0,85126741.64,1.8,USD,,,,equity,web_csv
2026-06-15,SIL,BRC CN,BLACKROCK SILVER CORP,,BNGHFP5,8991720.0,7077814.59,0.15,USD,,,,equity,web_csv
2026-06-15,SIL,BVN,CIA DE MINAS BUENAVENTUR-ADR,US2044481040,2210476,5547289.0,193378494.54,4.08,USD,,,,equity,web_csv
2026-06-15,SIL,CDE,COEUR MINING INC,US1921085049,2208136,28535976.0,532481312.16,11.24,USD,,,,equity,web_csv
2026-06-15,SIL,DSV CN,DISCOVERY SILVER CORP,CA2546771072,BND9899,19344348.0,120015383.13,2.53,USD,,,,equity,web_csv
2026-06-15,SIL,EXK,ENDEAVOUR SILVER CORP,CA29258Y1034,B018TM7,8886154.0,80952862.94,1.71,USD,,,,equity,web_csv
2026-06-15,SIL,FRES LN,FRESNILLO PLC,GB00B2QPKJ12,B2QPKJ1,5187965.0,223123284.73,4.71,USD,,,,equity,web_csv
2026-06-15,SIL,FVI CN,FORTUNA MINING CORP,CA3499421020,BPLQGB4,9158766.0,86577193.36,1.83,USD,,,,equity,web_csv
2026-06-15,SIL,GGD CN,GOGOLD RESOURCES INC,CA38045Y1025,B60BNP0,12255115.0,29378249.85,0.62,USD,,,,equity,web_csv
2026-06-15,SIL,GORO,GOLD RESOURCE CORP,,B1DZ912,4814831.0,6018538.75,0.13,USD,,,,equity,web_csv
2026-06-15,SIL,GSVR CN,GUANAJUATO SILVER CO LTD,,BMDM727,21471681.0,8143397.57,0.17,USD,,,,equity,web_csv
2026-06-15,SIL,HL,HECLA MINING CO,US4227041062,2418601,13184908.0,219660567.28,4.64,USD,,,,equity,web_csv
