as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-18,SETM,FCX,Freeport-McMoRan Inc.,US35671D8570,2352118,492817.0,33846671.56,5.32,USD,,,,equity,web_csv
2026-06-18,SETM,KAP LI,NAC Kazatomprom JSC,,BGXQL36,447857.0,32111346.9,5.05,USD,,,,equity,web_csv
2026-06-18,SETM,CCJ,Cameco Corp.,,2158684,287309.0,30595535.41,4.81,USD,,,,equity,web_csv
2026-06-18,SETM,PLS AU,PLS Group Ltd.,AU000000PLS0,B2368L5,6966518.0,30150682.55,4.74,USD,,,,equity,web_csv
2026-06-18,SETM,LYC AU,Lynas Rare Earths Ltd.,AU000000LYC6,6121176,2345113.0,29313501.26,4.61,USD,,,,equity,web_csv
2026-06-18,SETM,ALB,Albemarle Corp.,US0126531013,2046853,157894.0,25318302.9,3.98,USD,,,,equity,web_csv
2026-06-18,SETM,UEC,Uranium Energy Corp.,,B0VLLY2,1803514.0,21660203.14,3.4,USD,,,,equity,web_csv
2026-06-18,SETM,MP,MP Materials Corp.,US5533681012,BN15Y35,352712.0,21473106.56,3.37,USD,,,,equity,web_csv
2026-06-18,SETM,TECK,Teck Resources Ltd.,CA8787422044,2124533,316690.0,20382168.4,3.2,USD,,,,equity,web_csv
2026-06-18,SETM,SQM,Sociedad Quimica y Minera de Chile SA,US8336351056,2771122,245200.0,19539988.0,3.07,USD,,,,equity,web_csv
2026-06-18,SETM,BVN,Cia de Minas Buenaventura SAA,US2044481040,2210476,576710.0,18789211.8,2.95,USD,,,,equity,web_csv
2026-06-18,SETM,ANTO LN,Antofagasta PLC,GB0000456144,0045614,317093.0,17450474.78,2.74,USD,,,,equity,web_csv
2026-06-18,SETM,AG,First Majestic Silver Corp.,CA32076V1031,B01DH95,916639.0,16499502.0,2.59,USD,,,,equity,web_csv
2026-06-18,SETM,PDN AU,Paladin Energy Ltd.,,6668468,2296086.0,16250829.63,2.55,USD,,,,equity,web_csv
2026-06-18,SETM,NXE,NexGen Energy Ltd.,,BCH0BB4,1488119.0,15848467.35,2.49,USD,,,,equity,web_csv
2026-06-18,SETM,FM CN,First Quantum Minerals Ltd.,CA3359341052,2347608,510150.0,15630573.03,2.46,USD,,,,equity,web_csv
2026-06-18,SETM,HL,Hecla Mining Co.,US4227041062,2418601,948700.0,15141252.0,2.38,USD,,,,equity,web_csv
2026-06-18,SETM,DNN,Denison Mines Corp.,,B0122F3,4300666.0,14407231.1,2.26,USD,,,,equity,web_csv
2026-06-18,SETM,LUN CN,Lundin Mining Corp.,CA5503721063,2866857,537730.0,14261609.21,2.24,USD,,,,equity,web_csv
2026-06-18,SETM,SCCO,Southern Copper Corp.,US84265V1052,2823777,70996.0,13697258.28,2.15,USD,,,,equity,web_csv
2026-06-18,SETM,LTR AU,Liontown Ltd.,AU000000LTR4,B1J89V5,7789389.0,11146275.7,1.75,USD,,,,equity,web_csv
2026-06-18,SETM,IGO AU,IGO Ltd.,AU000000IGO4,6439567,1830653.0,11094711.02,1.74,USD,,,,equity,web_csv
2026-06-18,SETM,KGH PW,KGHM Polska Miedz SA,PLKGHM000017,5263251,99199.0,9990229.29,1.57,USD,,,,equity,web_csv
2026-06-18,SETM,UUUU,Energy Fuels Inc.,,BFV4XW8,555387.0,9197208.72,1.45,USD,,,,equity,web_csv
2026-06-18,SETM,AYA CN,Aya Gold & Silver Inc.,CA05466C1095,BK94091,458636.0,9123727.01,1.43,USD,,,,equity,web_csv
2026-06-18,SETM,CS CN,Capstone Copper Corp.,CA14071L1085,BMY5XY9,666699.0,7183209.49,1.13,USD,,,,equity,web_csv
2026-06-18,SETM,1772 HK,Ganfeng Lithium Group Co. Ltd.,CNE1000031W9,BZ9NS11,934200.0,6674985.65,1.05,USD,,,,equity,web_csv
2026-06-18,SETM,1164 HK,CGN Mining Co. Ltd.,,B755514,16700050.0,6179284.85,0.97,USD,,,,equity,web_csv
2026-06-18,SETM,HBM,Hudbay Minerals Inc.,CA4436281022,B05BQ98,208283.0,5746527.97,0.9,USD,,,,equity,web_csv
2026-06-18,SETM,SVM,Silvercorp Metals Inc.,CA82835P1036,B01DQT8,477915.0,5409997.8,0.85,USD,,,,equity,web_csv
2026-06-18,SETM,ELV AU,Elevra Lithium Ltd.,AU0000421851,BVBM1M0,615487.0,5172159.66,0.81,USD,,,,equity,web_csv
2026-06-18,SETM,SFR AU,Sandfire Resources Ltd.,AU000000SFR8,6739739,305461.0,4553139.16,0.72,USD,,,,equity,web_csv
2026-06-18,SETM,EXK,Endeavour Silver Corp.,CA29258Y1034,B018TM7,516888.0,4450405.68,0.7,USD,,,,equity,web_csv
2026-06-18,SETM,9696 HK,Tianqi Lithium Corp.,,BMZ3RS4,712150.0,3979862.2,0.63,USD,,,,equity,web_csv
2026-06-18,SETM,ILU AU,Iluka Resources Ltd.,AU000000ILU1,6957575,735279.0,3914624.94,0.62,USD,,,,equity,web_csv
2026-06-18,SETM,USAS,Americas Gold & Silver Corp.,CA03062D8035,BVMDRM4,700340.0,3753822.4,0.59,USD,,,,equity,web_csv
2026-06-18,SETM,1208 HK,MMG Ltd.,HK1208013172,6728793,3445920.0,3627284.21,0.57,USD,,,,equity,web_csv
2026-06-18,SETM,SRL AU,Sunrise Energy Metals Ltd.,AU0000143729,BN4MX14,238426.0,3007042.19,0.47,USD,,,,equity,web_csv
2026-06-18,SETM,ASM,Avino Silver & Gold Mines Ltd.,CA0539061030,B05P311,436050.0,2851767.0,0.45,USD,,,,equity,web_csv
2026-06-18,SETM,AMMN IJ,Amman Mineral Internasional PT,ID1000191109,BRK2Z98,12282500.0,2774922.34,0.44,USD,,,,equity,web_csv
2026-06-18,SETM,IVN CN,Ivanhoe Mines Ltd.,CA46579R1047,BD73C40,332765.0,2721349.37,0.43,USD,,,,equity,web_csv
2026-06-18,SETM,SGML,Sigma Lithium Corp.,CA8265991023,BNM4ZD8,197967.0,2702249.55,0.42,USD,,,,equity,web_csv
2026-06-18,SETM,URG,Ur-Energy Inc.,,B0WW4L2,1786637.0,2679955.5,0.42,USD,,,,equity,web_csv
2026-06-18,SETM,LAC,Lithium Americas Corp.,CA53681J1030,BQ2LQL5,602665.0,2633646.05,0.41,USD,,,,equity,web_csv
2026-06-18,SETM,NIC AU,Nickel Industries Ltd.,AU0000018236,BZ7NDP2,3699170.0,2503962.52,0.39,USD,,,,equity,web_csv
2026-06-18,SETM,ANTM IJ,Antam Tbk PT,,6053859,13518700.0,2420461.96,0.38,USD,,,,equity,web_csv
2026-06-18,SETM,LAR,Lithium Argentina AG,CH1403212751,BS2CSN8,253158.0,2308800.96,0.36,USD,,,,equity,web_csv
2026-06-18,SETM,ABRA CN,AbraSilver Resource Corp.,CA00379L3048,BR4XSQ5,237991.0,2276281.93,0.36,USD,,,,equity,web_csv
2026-06-18,SETM,TGB,Taseko Mines Ltd.,CA8765111064,2592066,305204.0,2179156.56,0.34,USD,,,,equity,web_csv
2026-06-18,SETM,DYL AU,Deep Yellow Ltd.,,6480275,1794459.0,2165001.53,0.34,USD,,,,equity,web_csv
2026-06-18,SETM,INCO IJ,Vale Indonesia Tbk PT,ID1000109309,B0217K9,7115050.0,2059566.86,0.32,USD,,,,equity,web_csv
